            JDTDB,            Calendar_Date,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR
2454475.5, A.D. 2008-Jan-10 00:00:00.0000,2.55E+08,-2.20E+08,-2.44E+07,1.42E+01,1.43E+01,-2.16E+00,1.13E+03,3.38E+08,1.58E+00
2454476.5, A.D. 2008-Jan-11 00:00:00.0000,2.56E+08,-2.19E+08,-2.45E+07,1.41E+01,1.43E+01,-2.15E+00,1.13E+03,3.38E+08,1.58E+00
2454477.5, A.D. 2008-Jan-12 00:00:00.0000,2.58E+08,-2.18E+08,-2.47E+07,1.41E+01,1.44E+01,-2.14E+00,1.13E+03,3.38E+08,1.59E+00
2454478.5, A.D. 2008-Jan-13 00:00:00.0000,2.59E+08,-2.17E+08,-2.49E+07,1.40E+01,1.44E+01,-2.13E+00,1.13E+03,3.38E+08,1.59E+00
2454479.5, A.D. 2008-Jan-14 00:00:00.0000,2.60E+08,-2.15E+08,-2.51E+07,1.39E+01,1.45E+01,-2.13E+00,1.13E+03,3.39E+08,1.60E+00
2454480.5, A.D. 2008-Jan-15 00:00:00.0000,2.61E+08,-2.14E+08,-2.53E+07,1.38E+01,1.46E+01,-2.12E+00,1.13E+03,3.39E+08,1.60E+00
2454481.5, A.D. 2008-Jan-16 00:00:00.0000,2.62E+08,-2.13E+08,-2.55E+07,1.37E+01,1.46E+01,-2.11E+00,1.13E+03,3.39E+08,1.60E+00
2454482.5, A.D. 2008-Jan-17 00:00:00.0000,2.63E+08,-2.12E+08,-2.56E+07,1.37E+01,1.47E+01,-2.10E+00,1.13E+03,3.39E+08,1.61E+00
2454483.5, A.D. 2008-Jan-18 00:00:00.0000,2.65E+08,-2.10E+08,-2.58E+07,1.36E+01,1.48E+01,-2.10E+00,1.13E+03,3.39E+08,1.61E+00
2454484.5, A.D. 2008-Jan-19 00:00:00.0000,2.66E+08,-2.09E+08,-2.60E+07,1.35E+01,1.48E+01,-2.09E+00,1.13E+03,3.39E+08,1.61E+00
2454485.5, A.D. 2008-Jan-20 00:00:00.0000,2.67E+08,-2.08E+08,-2.62E+07,1.34E+01,1.49E+01,-2.08E+00,1.13E+03,3.39E+08,1.62E+00
2454486.5, A.D. 2008-Jan-21 00:00:00.0000,2.68E+08,-2.07E+08,-2.64E+07,1.34E+01,1.49E+01,-2.07E+00,1.13E+03,3.39E+08,1.62E+00
2454487.5, A.D. 2008-Jan-22 00:00:00.0000,2.69E+08,-2.05E+08,-2.65E+07,1.33E+01,1.50E+01,-2.07E+00,1.13E+03,3.40E+08,1.62E+00
2454488.5, A.D. 2008-Jan-23 00:00:00.0000,2.70E+08,-2.04E+08,-2.67E+07,1.32E+01,1.51E+01,-2.06E+00,1.13E+03,3.40E+08,1.63E+00
2454489.5, A.D. 2008-Jan-24 00:00:00.0000,2.72E+08,-2.03E+08,-2.69E+07,1.31E+01,1.51E+01,-2.05E+00,1.13E+03,3.40E+08,1.63E+00
2454490.5, A.D. 2008-Jan-25 00:00:00.0000,2.73E+08,-2.01E+08,-2.71E+07,1.30E+01,1.52E+01,-2.04E+00,1.13E+03,3.40E+08,1.63E+00
2454491.5, A.D. 2008-Jan-26 00:00:00.0000,2.74E+08,-2.00E+08,-2.73E+07,1.30E+01,1.52E+01,-2.03E+00,1.13E+03,3.40E+08,1.63E+00
2454492.5, A.D. 2008-Jan-27 00:00:00.0000,2.75E+08,-1.99E+08,-2.74E+07,1.29E+01,1.53E+01,-2.03E+00,1.14E+03,3.40E+08,1.64E+00
