            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR
2454511.5, A.D. 2008-Feb-15 00:00:00.0000,-1.22E+08,8.35E+07,-1.69E+03,-1.73E+01,-2.47E+01,6.69E-04,4.93E+02,1.48E+08,3.26E-01
2454512.5, A.D. 2008-Feb-16 00:00:00.0000,-1.23E+08,8.14E+07,-1.62E+03,-1.69E+01,-2.50E+01,9.47E-04,4.93E+02,1.48E+08,3.33E-01
2454513.5, A.D. 2008-Feb-17 00:00:00.0000,-1.25E+08,7.92E+07,-1.53E+03,-1.64E+01,-2.53E+01,1.20E-03,4.93E+02,1.48E+08,3.41E-01
2454514.5, A.D. 2008-Feb-18 00:00:00.0000,-1.26E+08,7.70E+07,-1.41E+03,-1.60E+01,-2.55E+01,1.40E-03,4.93E+02,1.48E+08,3.49E-01
2454515.5, A.D. 2008-Feb-19 00:00:00.0000,-1.28E+08,7.48E+07,-1.29E+03,-1.55E+01,-2.58E+01,1.55E-03,4.93E+02,1.48E+08,3.57E-01
2454516.5, A.D. 2008-Feb-20 00:00:00.0000,-1.29E+08,7.26E+07,-1.15E+03,-1.51E+01,-2.61E+01,1.64E-03,4.93E+02,1.48E+08,3.66E-01
2454517.5, A.D. 2008-Feb-21 00:00:00.0000,-1.30E+08,7.03E+07,-1.00E+03,-1.46E+01,-2.63E+01,1.66E-03,4.93E+02,1.48E+08,3.74E-01
2454518.5, A.D. 2008-Feb-22 00:00:00.0000,-1.31E+08,6.80E+07,-8.61E+02,-1.42E+01,-2.66E+01,1.63E-03,4.94E+02,1.48E+08,3.82E-01
2454519.5, A.D. 2008-Feb-23 00:00:00.0000,-1.33E+08,6.57E+07,-7.24E+02,-1.37E+01,-2.68E+01,1.54E-03,4.94E+02,1.48E+08,3.90E-01
2454520.5, A.D. 2008-Feb-24 00:00:00.0000,-1.34E+08,6.34E+07,-5.98E+02,-1.32E+01,-2.70E+01,1.40E-03,4.94E+02,1.48E+08,3.97E-01
2454521.5, A.D. 2008-Feb-25 00:00:00.0000,-1.35E+08,6.11E+07,-4.84E+02,-1.28E+01,-2.72E+01,1.22E-03,4.94E+02,1.48E+08,4.04E-01
2454522.5, A.D. 2008-Feb-26 00:00:00.0000,-1.36E+08,5.87E+07,-3.88E+02,-1.23E+01,-2.75E+01,1.01E-03,4.94E+02,1.48E+08,4.11E-01
