            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2454233.500000000, A.D. 2007-May-13 00:00:00.0000,  1.628352689240395E+08, -1.279722229378301E+08, -6.680715406312719E+06,  1.589228448859753E+01,  2.112149168670229E+01,  5.217274159924123E-02,  6.911851038951918E+02,  2.072120812297249E+08, -5.573438331649503E-01,
2454235.500000000, A.D. 2007-May-15 00:00:00.0000,  1.655449724322189E+08, -1.242941887324984E+08, -6.670212196576625E+06,  1.546876570046388E+01,  2.144683995636989E+01,  6.939147803854517E-02,  6.908777976041579E+02,  2.071199531213770E+08, -5.089033485362011E-01,
2454237.500000000, A.D. 2007-May-17 00:00:00.0000,  1.681808456496583E+08, -1.205607224050944E+08, -6.656734226586193E+06,  1.503780454557958E+01,  2.176303295550480E+01,  8.660121156775702E-02,  6.905984967864692E+02,  2.070362208427207E+08, -4.601744106079296E-01,
2454239.500000000, A.D. 2007-May-19 00:00:00.0000,  1.707416220958454E+08, -1.167734235703970E+08, -6.640283906221263E+06,  1.459962853454452E+01,  2.206986819848653E+01,  1.037920699517123E-01,  6.903473599519184E+02,  2.069609319137964E+08, -4.111839723785193E-01,
2454241.500000000, A.D. 2007-May-21 00:00:00.0000,  1.732260751842786E+08, -1.129339262323075E+08, -6.620865344970837E+06,  1.415447196895897E+01,  2.236715021775117E+01,  1.209541962910432E-01,  6.901245299106267E+02,  2.068941291480013E+08, -3.619594668284829E-01,
2454243.500000000, A.D. 2007-May-23 00:00:00.0000,  1.756330193834267E+08, -1.090438975832179E+08, -6.598484354869008E+06,  1.370257564161651E+01,  2.265469056347558E+01,  1.380777719826316E-01,  6.899301336011813E+02,  2.068358506005665E+08, -3.125286460094208E-01,
2454245.500000000, A.D. 2007-May-25 00:00:00.0000,  1.779613113345685E+08, -1.051050367521408E+08, -6.573148451877438E+06,  1.324418670817938E+01,  2.293230800419879E+01,  1.551529517179446E-01,  6.897642819391220E+02,  2.067861295231344E+08, -2.629193986803136E-01,
2454247.500000000, A.D. 2007-May-27 00:00:00.0000,  1.802098509235494E+08, -1.011190735066633E+08, -6.544866856121376E+06,  1.277955854364229E+01,  2.319982909685256E+01,  1.721698203973059E-01,  6.896270696913192E+02,  2.067449943260979E+08, -2.131597549091973E-01,
2454249.500000000, A.D. 2007-May-29 00:00:00.0000,  1.823775822994325E+08, -9.708776690585519E+07, -6.513650488349989E+06,  1.230895014313405E+01,  2.345708839895704E+01,  1.891185570170073E-01,  6.895185753547663E+02,  2.067124685422636E+08, -1.632780810863794E-01,
2454251.500000000, A.D. 2007-May-31 00:00:00.0000,  1.844634948411295E+08, -9.301290391269104E+07, -6.479511964813501E+06,  1.183262583266565E+01,  2.370392852071137E+01,  2.059894275943392E-01,  6.894388610608021E+02,  2.066885707981383E+08, -1.133029391977453E-01,
