            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR
2454851.5, A.D. 2009-Jan-20 00:00:00.0000,3.57E+07,-2.12E+08,-5.31E+06,2.48E+01,6.11E+00,-4.81E-01,7.17E+02,2.15E+08,-1.89E+00
2454853.5, A.D. 2009-Jan-22 00:00:00.0000,4.00E+07,-2.11E+08,-5.40E+06,2.47E+01,6.60E+00,-4.69E-01,7.16E+02,2.15E+08,-1.86E+00
2454855.5, A.D. 2009-Jan-24 00:00:00.0000,4.42E+07,-2.10E+08,-5.48E+06,2.46E+01,7.09E+00,-4.56E-01,7.15E+02,2.14E+08,-1.84E+00
2454857.5, A.D. 2009-Jan-26 00:00:00.0000,4.85E+07,-2.08E+08,-5.55E+06,2.45E+01,7.57E+00,-4.43E-01,7.14E+02,2.14E+08,-1.81E+00
2454859.5, A.D. 2009-Jan-28 00:00:00.0000,5.27E+07,-2.07E+08,-5.63E+06,2.44E+01,8.06E+00,-4.30E-01,7.13E+02,2.14E+08,-1.78E+00
2454861.5, A.D. 2009-Jan-30 00:00:00.0000,5.69E+07,-2.05E+08,-5.70E+06,2.43E+01,8.55E+00,-4.17E-01,7.11E+02,2.13E+08,-1.75E+00
2454863.5, A.D. 2009-Feb-01 00:00:00.0000,6.11E+07,-2.04E+08,-5.77E+06,2.41E+01,9.03E+00,-4.03E-01,7.10E+02,2.13E+08,-1.72E+00
2454865.5, A.D. 2009-Feb-03 00:00:00.0000,6.52E+07,-2.02E+08,-5.84E+06,2.40E+01,9.52E+00,-3.89E-01,7.10E+02,2.13E+08,-1.69E+00
2454867.5, A.D. 2009-Feb-05 00:00:00.0000,6.94E+07,-2.01E+08,-5.91E+06,2.38E+01,1.00E+01,-3.75E-01,7.09E+02,2.12E+08,-1.66E+00
2454869.5, A.D. 2009-Feb-07 00:00:00.0000,7.35E+07,-1.99E+08,-5.97E+06,2.36E+01,1.05E+01,-3.61E-01,7.08E+02,2.12E+08,-1.62E+00
2454871.5, A.D. 2009-Feb-09 00:00:00.0000,7.75E+07,-1.97E+08,-6.03E+06,2.35E+01,1.10E+01,-3.47E-01,7.07E+02,2.12E+08,-1.59E+00
2454873.5, A.D. 2009-Feb-11 00:00:00.0000,8.16E+07,-1.95E+08,-6.09E+06,2.33E+01,1.14E+01,-3.32E-01,7.06E+02,2.12E+08,-1.56E+00
2454875.5, A.D. 2009-Feb-13 00:00:00.0000,8.56E+07,-1.93E+08,-6.15E+06,2.31E+01,1.19E+01,-3.17E-01,7.05E+02,2.11E+08,-1.52E+00
2454877.5, A.D. 2009-Feb-15 00:00:00.0000,8.95E+07,-1.91E+08,-6.20E+06,2.29E+01,1.24E+01,-3.02E-01,7.04E+02,2.11E+08,-1.48E+00
2454879.5, A.D. 2009-Feb-17 00:00:00.0000,9.35E+07,-1.89E+08,-6.25E+06,2.26E+01,1.28E+01,-2.87E-01,7.03E+02,2.11E+08,-1.45E+00
